title,creator,collection,location,lat-long,subject,description,date-digital,date-original,date,format,digitization-specifications,iwrri-number,resource-identifier,rights-management,publisher,contributors,type,contributing-institution,metadata-cataloger,series,reference-url,cdm-number,cdm-file-name,full-resolution
Analysis of a skewed slot orifice,"Harrison, Michael B.",,,,fish; fish migration;,The object of this study was to develop design criteria for a skewed slot orificie fishway exit.  Using these criteria the fishway exist can be constructed in culvert wingwalls.  The outlet would terminate in a skew angle and be designed to create flow conditions necessary for fish passage.  Values of slot orifice contraction rations varied from .65 to .82 of culvert width; culvert slope varied from .015 to .045; skew angles measured varied from thirty degrees to seventy-five degrees; three lateral positions of the fishway cahnnel were tested.  Dimensional analysis wwas used to determine the significant design paramenters.  Design curves displaying the relationship between the backwater ration h/h and the foude number are presented.  The design curves and an equation based on the momentum principle are used to design two types of skewed orifice exists.  One problem uses the same contraction ratio for the skweed exit and normal slot orificies placed downstream; the other uses different values of contraction ratio for the skwed exit and normal slot orificies downstream.  Necessary criteria regarding suitability of flow for fish passage are also discussed,2012,7/1/1972,1972-07,application/pdf,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",197208,197208,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/107,107,107.pdf,Volume8/197208.pdf
"Analysis of downhole dissolved oxygen measurements in shallow aquifers near Moscow, Idaho","Lockwood Jr., P.",Palouse Basin,Moscow,"46.73, -116.99",dissolved oxygen; well data; alluvium,The Lockwood thesis describes dissolved oxygen in shallow wells with most wells completed in sediment.,2012,1996,1996,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",,1996_Lockwood_Analysis_Of_Downhole,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/325,325,325.pdf,Volume17/1996_Lockwood_Analysis_Of_Downhole.pdf
"Analysis of ground water quality and water level data and the effects of recharge on ground water quality at Smelterville Flats, Idaho","Swope, S. P.",Coeur d'Alene Basin,Coeur d'Alene Basin,"47.52, -116.56",mine wastes; heavy metals; zinc; water quality; groundwater pollution,"The Smelterville Flats are located in the Coeur D'Alene River Valley in Northern Idaho. Mine wastes from zinc, silver and lead mines were discharged into the river and have been deposited in thicknesses up to seven feet over a large area of the Flats causing significant water quality degradation in the underlying aquifer. Water levels and water quality were monitored in ten pairs of piezometers (10 shallow and 10 deep) through two spring recharge events to study the effects of hydrology on water quality. Heavy metal concentrations measured in the shallow wells were consistently higher than those measured in the deep wells. Despite a significant difference in water quality between the shallow and deep sets of piezometers, dissolved constituents change congruently in the deep and shallow piezometers. Zinc concentrations in the shallow wells varied widely across the Flats. Zinc concentrations could be correlated with depth in the deep piezometers implying the existence of a downward concentration gradient away from the wastes above the aquifer. A linear relation between zinc and cadmium concentrations and to a lesser extent between zinc and lead concentrations supports the use of zinc as an indicator of contamination by the mine waste. While overall zinc concentration correlates positively with electrical conductivity collectively, well by well correlation is not consistent. Zinc concentration correlates negatively with pH in the deep wells but this correlation is not conclusive in the shallow wells. Variations in zinc concentrations are associated with antecedent precipitation and therefore recharge more than with water level rise. Therefore remediation efforts should focus on decreasing recharge. A conceptual model of heavy metal influx has been established consisting of three stratigraphic layers. Infiltrating ground water passes through the first layer and dissolves heavy metal ions. The heavy metal bearing water then moves downward through the second layer and mixes with horizontally migrating ground water of lower zinc concentration in the third layer. Some of this water eventually enters the South Fork of the Coeur D'Alene River.",2012,9/1/1990,1990-09,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",,CDA_Swope_1990,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/157,157,157.pdf,Volume10/CDA_Swope_1990.pdf
"Analysis of sedimentation and water quality of Kidd Island Bay, Lake Coeur d'Alene, Idaho","Molnau, Myron; Kessler, Charles",Coeur d'Alene Basin,Kidd Island Bay; Coeur d'Alene Lake,"47.64, -116.8",water quality; sediment; bottom sampling;,"This project was begun with the objective of identifying sediment sources, determining the amount of sediment from each, and measuring the quality of the water in the bay. Because of the very low runoff, measurement of runoff and sediment was inconclusive. Therefore, the sediment-runoff relations had to be determined by using standard accepted methods of computation. The results of various measurements and computations are given in the sections that follow.",2012,12/1/1985,1985-12,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",198510,CDA_Molnau_1985,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,Water for Idaho,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/103,103,99.pdf,Volume7/CDA_Molnau_1985-0.pdf
Analysis of slot orifice fishways,"Dass, Purushottam",Boise Basin,,,fish barriers; fish ladders; fish migration,"The object of this study was to develop design criteria for a slot orifice fishway. Sizing and spacing of slot orifices inside the fishway can be designed to create flow conditions satisfactory for fish passage. The slot orifice fishway will function well in a wide range of discharges and should not have any serious s i l t i n g problems. Values of drag coefficients for the slot orifice constrictions were evaluated by model studies for a range of slot openings varying from 0.6 t o 0.85 of fishway width and culvert slope varying from horizontal to five percent. Three longitudinal spacings, 4, 5, and 6 times the fishway width, were considered for the slot orifices in the fishway. The effect of tailwater on the flow conditions at the fishway entrance was studied. The backwater relation of the slot orifice also was developed in the above range. Nondimensional carves are given for the values of the drag coefficients of the slot orifice constrictions and also for the backwater relations for the slot orifices. An equation, based on momentum principle, is developed which enables the designer to find the rate of flow through the fishway. Necessary criteria regarding suitability of flow for fish passage are also developed.",2012,12/1/1970,1970-12,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",197005,197005,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/205,205,205.pdf,Volume11/197005.pdf
Analytical techniques for arsenic and antimony speciation studies in interstitial water of river sediments,"Shieh, Guan-Ming",Coeur d'Alene Basin,Coeur d'Alene River,"47.51, -116.15",heavy metals; mine wastes; sediment; speciation,"Three separation techniques for obtaining interstitial water, i.e., by solvent displacement, modified centrifugation, and gas squeezing, have been investigated. A simple nitrogen gas squeezing technique utilizing an Amicon ultrafiltration cell was found effective to obtain interstitial waters from river sediments. several analytical techniques for measuring arsenic and antimony species in natural waters were also evaluated. A solvent extraction procedure using ammonium pyrrolidinedithiocarbamate (APDC) as an extractant coupled with neutron activation analysis was chosen for arsenic and antimony speciation studies of interstitial waters in this work. The distributions of arsenic and antimony species in natural waters and in interstitial waters of the polluted sediments of the Coeur d'Alene River in northern Idaho were investigated. High concentrations of arsenic and high ratios of As(III)/As(V) were observed in the interstitial waters obtained from the sediments of the South Fork of the river. The As and Sb levels in the interstitial waters of the sediments collected from the Coeur d'Alene River were found to be proportional to the levels of these elements in the surface waters, indicating a correlation of pollutants between waters and sediments. The distribution of As species in deep well waters of the Blackfoot Disease endemic area in southwest Taiwan was also studied. High concentrations of As(III) were found in the well waters which may be related to the Blackfoot Disease.",2012,5/1/1993,1993-05,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",,CDA_Shieh_1993,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/154,154,154.pdf,Volume10/CDA_Shieh_1993.pdf
Approximate solution to the Navier-Stokes equations for flow through a rectangularly packed bed of spheres,"Carson Jr., William McKinley",Boise Basin,,,fluid friction;,"Approximate solutions for the Navier -Stokes equations describing fluid fiow through a rectangular packing of spheres were obtained for Reynolds numbers of 0.1, 1, 7 and 35. Initial attempts to solve the Navier-Stokes equations with the inertia terms intact were unsuccessful. However, the methods used in these  solution attempts are given in detail. The results reported are based on an Oseen linearization of the full Navier-Stokes equations. The solutions were approximated by triple trigonometric series and the unknown coefficients evaluated using the Galerkin method for error distribution. Velocity components and pressure in the void space of the bed are given as explicit functions of the spacial coordinates. Friction factors for the packed bed and superficial velocity were evaluated from the velocity functions and are shown to agree with the experimental observations of previous investigators. The viscous and kinetic contribution to the energy dissipation are partitioned using first principles of the mechanical energy balance and evidence is given khat the viscous and kinetic effects determined by semiempirical methods do not show the actual relationship between viscous and kinetic losses in the intermediate Reynolds number range. Based on friction factor and superficial velocity, the Oseen linearization is shown to be valid for packed flow at Reynolds numbers less than seven, and invalid for a Reynolds number of 35. Suggestions for future research are included.",2012,8/1/1970,1970-08,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",197003,197003,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/196,196,196.pdf,Volume11/197003.pdf
"Aquaculture techniques: water use and discharge quality. Research technical completion report, project A-022-IDA","Klontz, George W.; Brock, Irvin R.",IWRRI,,,fishing industry waste water; waste management; effluent limitations,"At least two problems regarding fish hatchery and farm effluents become apparent: 1) how to reduce economically the waste load in effluents from fish culture operations and 2) how to raise fish within the permitted discharge limitations. This project was designed to define the problems, to test methods for their resolution, and to implement those methods deemed most appropriate for each particular situation.",2012,4/1/1978,1978-04,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",197808,197808,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,Water for Idaho,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/505,505,505.pdf,Volume22/197808.pdf
"Aquatic environment and food habits of mayflies. Research technical completion report, project A-022-IDA","Brusven, M. A.; Gilpin, B. R.",Coeur d'Alene Basin,St. Maries River,"47.26, -116.6",mayflies; feeding rates; habitats,"The food  habits and ecology were studied for 31 species of mayfly nymphs from the St. Maries River in Idaho, during 1967 and 1968. Mayfly nymphs were basically herbivores, feeding on variable amounts of detritus, diatoms and filamentous algae; insects were occasionally consumed. The feeding habits depended largely on the microhabitat of the nymph, e.g. riffle species generally fed more on filamentous algae and diatoms while pool-inhabiting nymphs fed largely on detritus. Different age c:lasses of nymphs usually fed on the same relative composition of food. Nymphs of many mayfly species demonstrated similar microhabitat affinities, although the macrohabitats were often dissimilar. Bottom type and current speed were important factors limiting mayfly distribution. A dendrogram was used to correlate station similarities biotically; several diverse habitats supported the same species.",2012,6/1/1969,1969-06,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",196904,196904,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,Water for Idaho,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/217,217,217.pdf,Volume11/196904.pdf
"Archiving of deep percolation models, data files, and calculated recharge estimates for the Columbia Plateau regional aquifer system, Washington, Oregon, and Idaho. U.S. Geological Survey Open-file report 88-186","Vaccaro, J. J.; Bauer, H. H.",Palouse Basin,Columbia Basalt,"46.96, -118.08",deep percolation; model studies; estimating; groundwater recharge,"The document describes the archiving of computer files used in the deep percolation numerical model employed to estimate recharge to the Columbia River Plateau regional aquifer system in Washington, Oregon, and Idaho.",2012,1990,1990,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",,1990_Vaccaro_Bauer_Archiving_of_Deep,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,US Geological Survey Open File Report 88-186,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/315,315,315.pdf,Volume17/1990_Vaccaro_Bauer_Archiving_of_Deep.pdf
